"Theta [deg]","dB(RealizedGainTotal) [] - Freq='0.5GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='0.6GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='0.7GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='0.8GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='0.9GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.1GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.2GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.3GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.4GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.5GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.6GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.7GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.8GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='1.9GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='2GHz' Phi='0deg'"
-160,-18.0068153799932,-23.6070292278499,-25.4900219358905,-22.9029549139579,-24.9510145264402,-23.6049138894671,-23.5536114071122,-22.9674860191269,-23.3924856307436,-25.5906484744761,-30.3848497659496,-23.1166989201725,-21.3720630537048,-21.3738112450115,-21.5286704905019,-19.8890899663144
-158,-18.2584615766811,-23.7029987352143,-25.4760978560694,-23.0243680419431,-24.6597378359146,-23.5957129039501,-23.9684425814974,-23.3255461292428,-23.5321891138473,-24.8983114854791,-28.600527140947,-23.4224478541231,-20.6802969567799,-21.46418725297,-20.8080256121962,-19.7009205527564
-156,-18.5242565536325,-23.8016167700285,-25.423994317604,-23.1735446875028,-24.3386880477119,-23.5982391451187,-24.4041824486702,-23.6270293133231,-23.6531966714,-24.2503768922388,-26.6999284034409,-23.7779239743521,-20.1251674522329,-21.6312578761858,-20.2462925404881,-19.8598449027872
-154,-18.8041497091164,-23.9030203330855,-25.3359413682379,-23.3479164082183,-24.0044773921151,-23.6135189997903,-24.8148248693642,-23.8080685057841,-23.7216073798877,-23.656761206681,-24.9213002079476,-24.0372229286418,-19.7064513611466,-21.8207477004936,-19.8242030028164,-20.3784237699404
-152,-19.0979408111928,-24.0073739133227,-25.2184599460104,-23.5438069063542,-23.6768531815383,-23.6445981299858,-25.1382079548367,-23.8172003739003,-23.7093177382509,-23.1341269256972,-23.3759901412541,-24.0331468611288,-19.4295500885128,-21.9836928043447,-19.5315828842227,-21.2642509494053
-150,-19.4052069897097,-24.1146960803549,-25.0815244699554,-23.7563844285556,-23.377156706362,-23.6976531460727,-25.3121277301497,-23.6442150844398,-23.6078495779971,-22.7063469009094,-22.1106562302896,-23.6937991166458,-19.3049473048621,-22.1064638173288,-19.3679136373073,-22.5060173159021
-148,-19.7252204719908,-24.2246192396377,-24.9371525585589,-23.9796625048528,-23.1271000683402,-23.782785587496,-25.3028349162498,-23.3319089968571,-23.4368066831746,-22.403262175632,-21.1464306809803,-23.1183932914168,-19.3429773156842,-22.2289715083151,-19.3386735128794,-24.0390817240045
-146,-20.0568635433447,-24.3361025098493,-24.7977830324841,-24.206512591204,-22.9480242168687,-23.9142377888254,-25.1277912450495,-22.9592813615359,-23.2405991550738,-22.2584846022776,-20.4966962182432,-22.5038287935218,-19.5427659107678,-22.433065099483,-19.4468462128891,-25.6701855139052
-144,-20.3985516884195,-24.4471397578229,-24.6747575599708,-24.4286254144434,-22.8606020813927,-24.1098863431988,-24.8517563292327,-22.6124626645408,-23.0759168763935,-22.3068137904568,-20.1741632882313,-22.0285567547334,-19.8742818061667,-22.8100422730559,-19.6806240151068,-26.9860254236001
-142,-20.7481810795455,-24.5545326474551,-24.5770737145957,-24.6363583755674,-22.8848163231707,-24.3899564081397,-24.5602069055763,-22.3647743309121,-22.9982334064045,-22.5808817265253,-20.1926724277344,-21.8091987602122,-20.256515639502,-23.4273570348888,-20.0004586076851,-27.4935403430563
-140,-21.1031214315277,-24.6538286863263,-24.5104361688626,-24.8184732037123,-23.0399356754996,-24.7747958167285,-24.3331800717243,-22.2709274639277,-23.0528948715701,-23.1046665673021,-20.5644948286273,-21.9109129148419,-20.5516380953716,-24.2976668719066,-20.3325868702874,-27.1371893540202
-138,-21.4602775252637,-24.7395457056063,-24.4765692140265,-24.9619321556271,-23.344034874669,-25.2810743810781,-24.232936604779,-22.3690798002297,-23.2706101570292,-23.8774971847093,-21.289079725779,-22.3649878715947,-20.6172600067937,-25.33867389681,-20.5806980775736,-26.347231878335
-136,-21.8162389421991,-24.8057952826653,-24.4727864931962,-25.0521593322759,-23.8121643484243,-25.9147485655108,-24.3025890434095,-22.6840874186769,-23.6640721306322,-24.8351449631329,-22.3207972690845,-23.1735931142341,-20.4157079515466,-26.3354864527709,-20.6610105482399,-25.5132956994283
-134,-22.1675236120476,-24.8473505539984,-24.4919267173144,-25.0743469240835,-24.4512267823792,-26.6575712511181,-24.5678147645745,-23.2279456777854,-24.2222425234361,-25.7764121648907,-23.4937520397436,-24.2925580947913,-20.060165156605,-27.0033303283765,-20.5397947527045,-24.7724532011714
-132,-22.5108936794439,-24.8610653680258,-24.5229121273632,-25.0162250428452,-25.2474352457735,-27.4435652603236,-25.0354850067999,-23.9944720853773,-24.9004960307096,-26.3230605598613,-24.4268651030278,-25.5811364883735,-19.7263479510867,-27.223865063305,-20.2391488333966,-24.0672202039479
-130,-22.8436830397136,-24.8473754340265,-24.5522749275441,-24.8719932875198,-26.139342286155,-28.1313528900194,-25.6845218266594,-24.9447705503686,-25.6101694154313,-26.1498270538317,-24.6591216831708,-26.7340252014654,-19.5408339606486,-27.1556258224504,-19.8109604949834,-23.2487306808409
-128,-23.1640323641326,-24.8114921866233,-24.5668712182046,-24.6460600432861,-26.9741099664614,-28.5137215928533,-26.4453927426822,-25.9820721569996,-26.2233782264371,-25.3687519273622,-24.1600377012643,-27.3433733536348,-19.5291271246252,-26.9987365519615,-19.3082232263043,-22.2211674917924
-126,-23.4708931916521,-24.7639439322719,-24.5575327468516,-24.3547258055687,-27.4880533955659,-28.4304740196989,-27.1742980439613,-26.9320006476191,-26.6171816681246,-24.3829054222048,-23.3665344478296,-27.244873657966,-19.601855811457,-26.7777382825768,-18.7662778848302,-21.04923384868
-124,-23.7636520488174,-24.7203498976487,-24.5227094398994,-24.0247693650479,-27.4305343547168,-27.9164773822398,-27.6628653563453,-27.5852448818484,-26.7458175840276,-23.4931220218577,-22.6618296038846,-26.6857436961967,-19.5742193882543,-26.3639782652597,-18.1919048050274,-19.9085013585871
-122,-24.0412468682411,-24.7006190170356,-24.47072855884,-23.6896060390142,-26.8053499365808,-27.1757446426113,-27.7491746283187,-27.839843586018,-26.6666470991886,-22.8149574096998,-22.1887531282297,-25.995605692945,-19.2693748639183,-25.6636564684109,-17.5687252116075,-18.9659283381077
-120,-24.3007041486814,-24.7279741310022,-24.4196784044497,-23.3848400763788,-25.8731202922565,-26.4226169048461,-27.4656644442387,-27.7974653988715,-26.4835341401072,-22.348303603298,-21.9251244090193,-25.353970943919,-18.6714212618148,-24.767128390449,-16.8887880103541,-18.3235136801385
-118,-24.5351302994278,-24.828216927375,-24.3950037430731,-23.1448239766271,-24.9101983764965,-25.7948544072892,-27.0165790209937,-27.6619343234882,-26.2749225788285,-22.0317048502183,-21.7567603186759,-24.8219199148949,-17.9365328928523,-23.8811100520391,-16.190655608794,-18.0161515217892
-116,-24.7313970209079,-25.0294965452123,-24.4258129511219,-23.0008024367454,-24.0814801054368,-25.3571443663869,-26.6197796866381,-27.5862992531663,-26.0661392374838,-21.7726869433551,-21.5353657812703,-24.4194304772993,-17.2487570494116,-23.1831471563396,-15.5625980475731,-18.0117083933055
-114,-24.8681643514783,-25.3625846146555,-24.5408641898232,-22.9802608448471,-23.45728811426,-25.1252119972596,-26.4149823818146,-27.6149904600028,-25.8415789868501,-21.4780349489953,-21.1569281684065,-24.1636372669726,-16.7159313005523,-22.7678798243329,-15.1039182051191,-18.1966285929855
-112,-24.9155219027569,-25.8612020487165,-24.7641676543876,-23.1065157172606,-23.0539702843434,-25.0782926508928,-26.456531780321,-27.6896276365243,-25.5735278101488,-21.0907205804523,-20.6258227222996,-24.072284708082,-16.3590281092119,-22.6563963937246,-14.8784579738112,-18.3783118425066
-110,-24.8380586450206,-26.560706887744,-25.1083901818783,-23.3970183170272,-22.8546932621505,-25.1566985699128,-26.7141869526889,-27.6804622314521,-25.2484250587215,-20.6128354621773,-20.0357559547074,-24.1471269728753,-16.1361541165207,-22.8044200302536,-14.883314448168,-18.3736594727828
-108,-24.602544260193,-27.4893071698151,-25.5617529181122,-23.85753277993,-22.8107061655406,-25.2516009210168,-27.0423299036154,-27.4557502269716,-24.8752072989736,-20.0928225001243,-19.4917734107412,-24.3452095816052,-15.9704921210623,-23.0920664698166,-15.0346623517303,-18.1572368960243
-106,-24.1885430700688,-28.6320465213888,-26.0615965122731,-24.4662742627642,-22.8303820436109,-25.2078159581574,-27.1475885146806,-26.9717159648947,-24.4722056656742,-19.5885480743909,-19.0524395330039,-24.545185695229,-15.7823908824219,-23.3215131187383,-15.1851188835128,-17.8651635941868
-104,-23.5965378907228,-29.8119764357943,-26.4536895309645,-25.1377290059179,-22.7708541454157,-24.8734580708266,-26.7051933564464,-26.2943125635273,-24.0447545030122,-19.1351932125879,-18.7137314077884,-24.5432860369382,-15.5228450394154,-23.2867994291188,-15.2000049106162,-17.6260001328762
-102,-22.8480365731127,-30.4533844109789,-26.4792933753388,-25.6643168621137,-22.4646801568393,-24.1900955202789,-25.6662985576755,-25.525715765615,-23.5699710010503,-18.7307557712546,-18.4170107746091,-24.1501275172983,-15.1900381323847,-22.9155644890787,-15.0513996628438,-17.4328578774254
-100,-21.9775607000799,-29.7576290357746,-25.8993601477943,-25.7076088280673,-21.8036867849465,-23.2297085565342,-24.308437944905,-24.7261177057942,-22.9996056256055,-18.3368758998774,-18.0742064934811,-23.352868122256,-14.8153396442685,-22.3080828811612,-14.8116238653925,-17.1576700871723
-98,-21.0219526541053,-27.8247994444105,-24.7175888298459,-25.0087125028186,-20.8146614262862,-22.1277572437656,-22.9353480137049,-23.8920482005628,-22.2836847006073,-17.8932165920499,-17.6113362527951,-22.3214570372632,-14.4311993903945,-21.6025907369514,-14.5476709374454,-16.6871493509363
-96,-20.0125047054299,-25.478673047673,-23.1748090757977,-23.6693331827991,-19.6284808916468,-20.9988468756695,-21.7084550637971,-22.98038764726,-21.4029192505989,-17.3449159267941,-17.0101874556839,-21.2449692604799,-14.0447035193772,-20.8535738507482,-14.2489354864678,-16.0536103217093
-94,-18.9717108809315,-23.2124742472444,-21.5247129819946,-22.0229507823249,-18.3849482287884,-19.905583148619,-20.6683725560214,-21.9513459329123,-20.3837407283827,-16.6719531907074,-16.31106966296,-20.221392804084,-13.6298317325638,-20.0293277721351,-13.8516314577161,-15.3935269675412
-92,-17.9135231483969,-21.1596030239612,-19.9161281813382,-20.3346062561758,-17.1770464908158,-18.8659833049532,-19.7848965519456,-20.8024615470417,-19.28234062784,-15.898627942987,-15.5740025536734,-19.255119595019,-13.1410762132937,-19.0848244640645,-13.3176838475866,-14.8059551613118
-90,-16.845314504171,-19.3212524437699,-18.4089855900318,-18.7285241234769,-16.0479689839158,-17.8696548550313,-18.9861286404455,-19.5707434878002,-18.1545183818787,-15.0751130997071,-14.836515959153,-18.2959021503505,-12.5433505968158,-18.030702782675,-12.6747589506213,-14.2820668589445
-88,-15.7702613979342,-17.6660828750835,-17.0153125788032,-17.2418481031633,-15.0067625436636,-16.8912885882664,-18.1787398454084,-18.3077754198882,-17.0349102881242,-14.248491265595,-14.0959319105724,-17.2836064185691,-11.8389937280109,-16.9337225616945,-11.9738783095489,-13.7335286091303
-86,-14.6894855430067,-16.1595296135098,-15.7255694808335,-15.8735756587142,-14.0427280650403,-15.9008418879913,-17.2753056170713,-17.053564563302,-15.9323952762368,-13.4433581001825,-13.3172471604747,-16.1849424892124,-11.0682696849298,-15.860780144961,-11.229717248892,-13.0780945244127
-84,-13.6036865166862,-14.7709748060629,-14.5216404656753,-14.609260025392,-13.134984645104,-14.8717076465631,-16.2273205036121,-15.8252162710705,-14.8366049795221,-12.6569561165667,-12.4581737718923,-15.0065752382622,-10.2835494952987,-14.8308885105027,-10.4150625314098,-12.3117600604556
-82,-12.51419113423,-13.4748984080425,-13.3829452657075,-13.4315075166596,-12.2587528353266,-13.7869566326111,-15.0418657678392,-14.6192347326893,-13.7295108882935,-11.8647722795522,-11.4982217133717,-13.7812684259452,-9.52112598074961,-13.8090256491394,-9.50724722899203,-11.4943390560572
-80,-11.4234495937074,-12.2506160178508,-12.2895897295642,-12.3240589422926,-11.3900172357946,-12.6426009867912,-13.7664867997218,-13.4206217626083,-12.5974388161604,-11.0325620790049,-10.4534409663575,-12.5447253607189,-8.78913460610082,-12.7384979922329,-8.53122216200866,-10.6745488207491
-78,-10.3350789584871,-11.0818192452624,-11.2243061738291,-11.2731076006873,-10.5092208823194,-11.4470998133788,-12.4575749374596,-12.2133903883125,-11.4391175385141,-10.1313580032183,-9.36749635459847,-11.3215677364739,-8.07310387450009,-11.5892680703199,-7.55312884553578,-9.84147486998969
-76,-9.25359973846957,-9.95616074255916,-10.1737724026746,-10.2674009607956,-9.60379415855401,-10.2177707045302,-11.1573877866058,-10.988759439137,-10.2667879439678,-9.15000022047857,-8.28983436885951,-10.1239248400848,-7.35190599903391,-10.3833665708368,-6.64001230409044,-8.93869610345976
-74,-8.18402238934599,-8.86486256455247,-9.12936681676939,-9.29781981687774,-8.66905392694622,-8.97597591498815,-9.88760794250063,-9.74859538392107,-9.10111599197763,-8.09919263624614,-7.25791979943195,-8.95650461204403,-6.61381503603804,-9.17583614635849,-5.82968485474464,-7.92088045263084
-72,-7.13141689918755,-7.80228453925281,-8.08726946946391,-8.35680554463698,-7.70736591043879,-7.7429210223994,-8.65341468502849,-8.50385517442641,-7.96380836522138,-7.00587306670457,-6.29010416574758,-7.82185331832633,-5.86264284131692,-8.01572519145247,-5.12631464338373,-6.80005344268664
-70,-6.10055343841775,-6.76541912601645,-7.04790527356216,-7.43786660254111,-6.726077020576,-6.53697156111736,-7.45091234755995,-7.27011185176086,-6.87174225787832,-5.90291936508242,-5.38635878057897,-6.72285799978309,-5.11094513568259,-6.92206450181998,-4.51158689563316,-5.63780411735645
-68,-5.09565382631352,-5.75332407352788,-6.01489683533834,-6.53530186312274,-5.73507976928326,-5.37246818527344,-6.27400367048359,-6.06296951100969,-5.83415782626943,-4.8204041277531,-4.53275704707568,-5.66253567712319,-4.36711935557991,-5.88391682365219,-3.95824743168216,-4.50205083308391
-66,-4.12025610907597,-4.76653709104244,-4.99381223185492,-5.6441888943702,-4.74475468636929,-4.25958059248901,-5.11909772508766,-4.89511965682,-4.85254490849844,-3.7811109590366,-3.70764616997973,-4.64265380018903,-3.6264522255291,-4.87575458681576,-3.43760146073611,-3.43615105667318
-64,-3.17717285988953,-3.80652729118705,-3.99099090973611,-4.76059851885965,-3.76463997376492,-3.20471440407469,-3.98718708887324,-3.77530332360806,-3.9222246479666,-2.79963082588736,-2.88873086568436,-3.66276796986278,-2.87186870993664,-3.87637270661982,-2.91884588824196,-2.45570095963655
-62,-2.26851597542031,-2.87522856044298,-3.01263310708247,-3.88192698900907,-2.80280754344666,-2.21113135543482,-2.88360997627975,-2.70859032944528,-3.03476650682138,-1.88330253196056,-2.05994538881321,-2.72046803560504,-2.08380165545115,-2.88076775944355,-2.36562751313926,-1.56001297836982
-60,-1.39576187349064,-1.97467959486059,-2.06421443281156,-3.00720206335128,-1.86573709277319,-1.27959733314341,-1.81638538638271,-1.69725225039186,-2.18063121380607,-1.03370266508378,-1.21611551917331,-1.812708580278,-1.2531607648887,-1.89972577787496,-1.73936282804145,-0.743719987441044
-58,-0.559836343188055,-1.1067740999193,-1.15019383234833,-2.13723163656458,-0.958457654231847,-0.408978255601444,-0.794162856971439,-0.741716099252162,-1.35154459257059,-0.24809209201955,-0.363653135921328,-0.937498513198939,-0.388941151712674,-0.950755678958866,-1.01358046180083,-0.00181823996204094
-56,0.238795408888125,-0.273109007544664,-0.273938665366151,-1.27452014057435,-0.0847856480435887,0.403239239223957,0.175451059832312,0.158660046307908,-0.542162521588016,0.479319131311402,0.482655953820579,-0.0950931759729649,0.484213744626276,-0.0486743001572575,-0.190279142039434,0.67153942244718
-54,1.00004244346081,0.525089540189903,0.562214677284969,-0.422956223613297,0.752437814622486,1.16050080378066,1.08687765714894,1.00506627878904,0.249262703649433,1.15623943800525,1.30478242415623,0.711853519734237,1.33547825954335,0.798818034762001,0.697314298627615,1.28635817396774
-52,1.72411026493148,1.28698439864362,1.35683085283858,0.412657064512393,1.55115113188094,1.86680286500021,1.93690154583792,1.79895155120621,1.02121889299478,1.79122426590173,2.08612013587212,1.4791679373597,2.13747688255671,1.59052362125404,1.5991500303162,1.85797543217742
-50,2.41143343374744,2.0121094485312,2.10922159343638,1.22712571831344,2.30992527824991,2.52636979818353,2.72455352109116,2.54190126555143,1.76997537198279,2.39264892860956,2.81436115853148,2.20259535053946,2.87174833544555,2.32876138897855,2.46751313344048,2.4043593236904
-48,3.06261883210846,2.70033094634663,2.81929438170717,2.01534501676634,3.02785781105797,3.14338697747817,3.45074834986279,3.23561172714844,2.49087527035586,2.96778544955682,3.48250758450721,2.87918404669238,3.52987221852845,3.01659021452242,3.26867992925671,2.94091439148563
-46,3.67839885188799,3.35179932384176,3.48741705329366,2.77267293832121,3.70449562055586,3.72179025586555,4.11783148220415,3.8819042357927,3.17947358525566,3.52209674605591,4.08859254853598,3.50816075418484,4.11203166115503,3.6565202572038,3.98511113803929,3.47607564574079
-44,4.25959333544381,3.96689876334537,4.11430313144245,3.49517284829471,4.339775347646,4.26511362659314,4.72912754734332,4.4827408773076,3.83229422496063,4.05886194490703,4.63473708205687,4.09112673575321,4.62465391657921,4.25065821506543,4.61230757198215,4.01039083066553
-42,4.80707897094098,4.54619894591451,4.70091797065578,4.17973303110106,4.93397337542052,4.77639545161384,5.28853771496456,5.04022260660163,4.44716645127086,4.5791869084935,5.12597550557923,4.63164722794809,5.07802029184596,4.80147727332636,5.15435521293688,4.53913425744285
-40,5.32176488636924,5.09041129785186,5.24840352395617,4.82408823588852,5.48766033260086,5.25814025097969,5.8002052210351,5.55656436584152,5.02322201228156,5.0823600444096,5.56908422947882,5.1344486983425,5.48416780659014,5.31236410288039,5.62017551472368,5.05613609476071
-38,5.80457331285576,5.60035070092862,5.75801874737873,5.42677358419092,6.00165741567123,5.71232880762019,6.26825367276725,6.0340508105859,5.56067843822919,5.56643071521275,5.97152745169601,5.6044879370422,5.85514603699231,5.78752211715968,6.02099899197564,5.55638088512913
-36,6.25642434560903,6.07690280267233,6.23109263558242,5.98703844502055,6.47699342123454,6.14046562296311,6.69659554237215,6.47498036383719,6.06052661050647,6.02885276721435,6.34057912638613,6.04613735378556,6.2016368666655,6.23131279497378,6.36886307388203,6.03652317918742
-34,6.6782239905638,6.52099660221595,6.66898722582938,6.50474163609874,6.9148623150966,6.54365064187866,7.08880457009159,6.88160608825985,6.52421077002872,6.46705565222441,6.68266018557387,6.46265791406477,6.53197107008949,6.64742203097276,6.67570408728376,6.49403281596121
-32,7.07085483171857,6.93358176589314,7.07306837693648,6.98024257106708,7.31658164955835,6.92266211971973,7.44804353370562,7.25608061489476,6.95335546456254,6.87885967330117,7.00291529020613,6.85602421086186,6.85159767800957,7.03826468628886,6.95265216183963,6.92620158761931
-30,7.43516878205856,7.31561005197221,7.44468260172448,7.41429726657772,7.68355235266452,7.27803933301123,7.77703727046594,7.60041019444818,7.34956512076994,7.26271095509478,7.30503095264142,7.22705780274125,7.16303477603088,7.40485413574412,7.20932571497379,7.32982720249973
-28,7.77198148844434,7.66802023239096,7.78513864905035,7.80796392869086,8.01722047891445,7.61015687125342,8.07807994462181,7.91642060921478,7.71430053258607,7.61775554201513,7.59126756478854,7.57575144579522,7.46625413672653,7.74710952480296,7.45315033526535,7.70165832053533
-26,8.08206804901966,7.99172595025614,8.09569287433725,8.1625200698837,8.31904150608519,7.91928566480793,8.35306552982115,8.20573565459258,8.04882263631763,7.94379438337337,7.86265108760093,7.9016479720589,7.7593652408204,8.06439442511727,7.68888201391817,8.03918264748934
-24,8.36615977277451,8.28760602016487,8.3775377040309,8.47939146080172,8.59044772511529,8.20563899751478,8.6035313993282,8.46976738150846,8.35418666343647,8.2411656050015,8.11925576068752,8.20416647045682,8.03941416212502,8.35604353595148,7.9185215883953,8.34126288156916
-22,8.624941767472,8.55649674961386,8.63179269681171,8.76009235909608,8.83281921321241,8.46940409053035,8.83070664315755,8.70971632818341,8.63126786758692,8.51059452862308,8.36051121399212,8.48282019086751,8.30312263795254,8.62171184888494,8.1416777252169,8.60834068810836
-20,8.85905118674304,8.79918592619939,8.8594978433339,9.00617609723892,9.04745880623178,8.71076128619115,9.03555893312288,8.92657950067225,8.88080195244485,8.75304162943454,8.58548265380626,8.73731948172148,8.54745020620393,8.86149760826634,8.35626432279846,8.84219981396925
-18,9.0690760020671,9.01640817347512,9.06160883814532,9.2191950407187,9.23557139330242,8.92989348981578,9.21883604323394,9.12116377471739,9.10342741011063,8.96956795033532,8.79309402921458,8.9675843812148,8.76993542192075,9.07588206663069,8.55931293236322,9.04545286470973
-16,9.2555541925721,9.20884142720127,9.23899411310705,9.40066900276343,9.39824774488683,9.12698854616911,9.38110016607229,9.29410256333308,9.29972171388403,9.1612283123073,8.98228407501278,9.17370301472492,8.96883211457646,9.26557008224784,8.74768755701786,9.22096168230194
-14,9.41897326676743,9.37710432363279,9.39243345077732,9.5520613289261,9.53645295939628,9.302236869592,9.52275473388153,9.44587391528049,9.47022759849293,9.32899560521425,9.15209957221119,9.35586909095311,9.14309053923125,9.43131287872427,8.91857639578413,9.37135716048333
-12,9.55977004683383,9.52175432349696,9.52261800714076,9.67476198872866,9.65101948187995,9.45582611831472,9.64406448617147,9.57681859437125,9.61546890577256,9.47371452234439,9.30173804949543,9.51432187704367,9.29224272575034,9.57376778801359,9.06973811803227,9.4987431630501
-10,9.67833065903435,9.64328642072088,9.63015157253861,9.77007710123064,9.7426445226911,9.58793415493611,9.74517006889062,9.68715708013308,9.73595751460365,9.59608007157435,9.43055463569394,9.64930095055395,9.41624481737922,9.69341833532292,9.19955162951105,9.60459176021176
-8,9.77499068405637,9.7421323051451,9.71555289296062,9.8392243618969,9.81189159638171,9.69872105851879,9.82609861765667,9.77700479084592,9.83219384755886,9.69663471609096,9.53804683378057,9.76101912643677,9.51531553327962,9.79055326315162,9.30694536501889,9.68978596816492
-6,9.85003542933073,9.81865986466885,9.77925886480189,9.88333382404712,9.85919582130067,9.78832059229427,9.8867717057278,9.84638514036007,9.90466363121529,9.77577769164331,9.6238284363719,9.84965137582314,9.58979529903669,9.86528925501375,9.39127623335741,9.75474702465917
-4,9.90370029212681,9.87317292562364,9.8216284072392,9.90345341918251,9.88487257420113,9.8568312932903,9.92701185118668,9.89524029094697,9.95383328041421,9.83378053674594,9.68760090038242,9.91533501199918,9.64003837607205,9.91761816984121,9.45220730162827,9.7995888501683
-2,9.93617118789102,9.90591114159094,9.84294680886764,9.90055847860323,9.88912908183305,9.90430722486647,9.94654857113964,9.92343965308887,9.98014572541969,9.87080381314158,9.72912792602034,9.95817600931115,9.66634168786221,9.9474619762008,9.48961088727773,9.82426018401861
